seg_softmax,of_confidence,target
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_1.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_1.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_1.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_2.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_2.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_2.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_3.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_3.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_3.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_4.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_4.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_4.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_5.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_5.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_5.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_6.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_6.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_6.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_7.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_7.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_7.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_8.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_8.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_8.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_9.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_9.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_9.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_10.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_10.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_10.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_11.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_11.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_11.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_12.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_12.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_12.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_13.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_13.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_13.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_14.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_14.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_14.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_15.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_15.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_15.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_16.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_16.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_16.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_17.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_17.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_17.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_18.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_18.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_18.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_19.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_19.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_19.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_20.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_20.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_20.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_21.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_21.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_21.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_22.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_22.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_22.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_23.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_23.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_23.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_24.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_24.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_24.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_25.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_25.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_25.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_26.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_26.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_26.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_27.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_27.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_27.npy
/root/autodl-tmp/data/FusionApproach/train_numpy_files/seg_softmax_bear_28.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/of_confidence_bear_28.npy,/root/autodl-tmp/data/FusionApproach/train_numpy_files/target_bear_28.npy
